Taxa,Habit
Ames_25945,V
Ames_26609,V
Ames_26610,V
Ames_26617,V
Ames_26619,V
Ames_26878,V
Ames_26882,V
Ames_26890,V
Ames_26891,V
Ames_26893,V
Ames_26894,V
Ames_26952,S
Ames_29179,V
Ames_29180,V
NSL_104548,V
NSL_180768,B
NSL_98075,B
NSL_98131,B
PI_157099,B
PI_163232,V
PI_165018,B
PI_167053,B
PI_167199,B
PI_167243,B
PI_167392,B
PI_169448,B
PI_169450,S
PI_169473,V
PI_169475,B
PI_169476,B
PI_171623,V
PI_171625,B
PI_172857,S
PI_172858,V
PI_172860,B
PI_172863,V
PI_172866,B
PI_172868,B
PI_172870,B
PI_173681,V
PI_173684,B
PI_173686,S
PI_174178,V
PI_174185,B
PI_174187,S
PI_176541,B
PI_176552,B
PI_176959,V
PI_176962,V
PI_177377,B
PI_179267,S
PI_181757,V
PI_181759,V
PI_181761,S
PI_181878,V
PI_181912,S
PI_182203,S
PI_193502,V
PI_197671,V
PI_204697,S
PI_206426,B
PI_209783,B
PI_212002,B
PI_212004,B
PI_219694,V
PI_222100,V
PI_222247,V
PI_230181,V
PI_234617,S
PI_234618,B
PI_256064,S
PI_261610,S
PI_261780,B
PI_266925,S
PI_267661,V
PI_267662,V
PI_267663,V
PI_282486,S
PI_288240,B
PI_292014,B
PI_299575,V
PI_306126,B
PI_344357,S
PI_344358,V
PI_357892,V
PI_357921,B
PI_357931,V
PI_364240,V
PI_364241,S
PI_368593,V
PI_368597,V
PI_368608,V
PI_368614,V
PI_368617,S
PI_379310,V
PI_379311,S
PI_379312,V
PI_379314,V
PI_379321,V
PI_379324,S
PI_381323,V
PI_385969,B
PI_385970,S
PI_418966,B
PI_420328,S
PI_427095,B
PI_431582,B
PI_438575,S
PI_438696,V
PI_438699,V
PI_438700,V
PI_438716,S
PI_438822,V
PI_442260,V
PI_442291,V
PI_442293,V
PI_442295,V
PI_442296,S
PI_442297,S
PI_442298,S
PI_442299,V
PI_442300,V
PI_442306,V
PI_442309,S
PI_442314,S
PI_442322,S
PI_442335,V
PI_442791,V
PI_442792,V
PI_451852,B
PI_482590,V
PI_482593,V
PI_490274,B
PI_490275,V
PI_490277,V
PI_506441,V
PI_506467,B
PI_507882,S
PI_507886,B
PI_508465,B
PI_508467,B
PI_508469,B
PI_511967,V
PI_511968,S
PI_511969,V
PI_511974,V
PI_511978,S
PI_511981,V
PI_511982,S
PI_512186,V
PI_512189,V
PI_512190,S
PI_512662,S
PI_512665,S
PI_512693,V
PI_512701,S
PI_512703,B
PI_512709,V
PI_512739,S
PI_512741,B
PI_512744,V
PI_512749,V
PI_512754,V
PI_512755,V
PI_512757,B
PI_512773,B
PI_512776,S
PI_512780,B
PI_512785,B
PI_512789,S
PI_512796,S
PI_512800,S
PI_512805,B
PI_512806,V
PI_512812,S
PI_512813,V
PI_512822,S
PI_512823,S
PI_512826,V
PI_512831,B
PI_512834,B
PI_512857,V
PI_512861,V
PI_512863,V
PI_512869,B
PI_512870,S
PI_518688,S
PI_525170,B
PI_525171,B
PI_531315,V
PI_531316,S
PI_531319,S
PI_531320,B
PI_531323,B
PI_532354,V
PI_532355,V
PI_532389,V
PI_534558,B
PI_534561,B
PI_534620,B
PI_534623,B
PI_534626,V
PI_534632,B
PI_534634,B
PI_534638,B
PI_537508,V
PI_537519,V
PI_537532,B
PI_537555,B
PI_537560,V
PI_595364,B
PI_599994,B
PI_600771,B
PI_600995,V
PI_601193,V
PI_614684,V
PI_614685,V
PI_614687,V
PI_614694,V
PI_615086,S
PI_615089,B
PI_615092,V
PI_615093,S
PI_615095,V
PI_615096,V
PI_615097,S
PI_615099,V
PI_615100,S
PI_615101,V
PI_615102,V
PI_615103,B
PI_615104,V
PI_615105,B
PI_615106,V
PI_615107,V
PI_615108,S
PI_615109,V
PI_615110,V
PI_615111,B
PI_615112,B
PI_615113,V
PI_615114,B
PI_615116,B
PI_615117,B
PI_615118,V
PI_615122,V
PI_615126,V
PI_615129,V
PI_615130,V
PI_615132,V
PI_615133,V
PI_615134,V
PI_615137,S
PI_615138,B
PI_615139,B
PI_615140,B
PI_615141,B
PI_615142,V
PI_615143,S
PI_615144,V
PI_615145,V
PI_615146,B
PI_615147,B
PI_615148,B
PI_615149,B
PI_615150,B
PI_615153,S
PI_93458,B
PI_135398,B
PI_143306,V
PI_169460,S
PI_176965,V
PI_185033,V
PI_192941,V
PI_206956,B
PI_207479,S
PI_222786,B
PI_232072,V
PI_234616,B
PI_267757,V
PI_379315,S
PI_438823,V
PI_442316,V
PI_508468,B
PI_511983,V
PI_512751,V
PI_512779,S
PI_512840,V
PI_597784,B
PI_615088,S
PI_615091,V
PI_615094,B
PI_615098,V
